report_date,building_id,energy_consumption_kWh,area_m2,efficiency_score,hvac_usage_percent,lighting_usage_percent
2023-11-09,BLDG-673,7856.6,3031,0.51,57.6,32.0
2023-04-12,BLDG-992,17421.2,4366,0.73,55.4,28.0
2023-03-20,BLDG-724,15279.9,1634,0.72,66.5,11.1
2023-11-11,BLDG-834,16437.4,4605,0.97,40.0,20.7
2023-03-11,BLDG-622,8228.0,3029,0.74,21.4,24.4
2023-12-21,BLDG-663,10137.4,2830,0.82,37.6,15.0
2023-03-03,BLDG-381,6700.8,2228,0.76,27.5,31.7
2023-05-03,BLDG-199,5834.1,3048,0.99,44.0,23.7
2023-01-20,BLDG-576,12193.5,4871,0.98,29.0,21.9
2023-12-30,BLDG-664,6412.0,1395,0.7,58.7,39.6
2023-04-13,BLDG-905,19493.0,2993,0.92,34.5,37.2
2023-09-15,BLDG-937,1104.8,1797,0.87,48.7,13.5
2023-07-24,BLDG-634,4400.8,4800,0.68,62.5,30.5
2023-04-30,BLDG-320,6812.4,2934,0.65,36.7,22.2
2023-01-28,BLDG-641,2034.2,1075,0.61,67.8,13.3
2023-05-24,BLDG-331,9819.2,744,0.69,29.1,31.3
2023-01-02,BLDG-966,8730.7,4845,0.64,52.8,15.6
2023-07-02,BLDG-806,4956.8,2734,0.52,46.5,31.7
2023-10-04,BLDG-797,3731.7,2194,0.75,29.4,31.2
2023-04-05,BLDG-782,18143.9,3887,0.98,27.8,27.6
2023-02-14,BLDG-387,9521.6,2055,0.8,33.6,32.3
2023-07-11,BLDG-474,12722.9,4519,0.92,56.0,29.9
2023-04-07,BLDG-430,3940.8,1377,0.76,65.2,11.8
2023-10-08,BLDG-760,10938.5,4504,0.76,55.7,26.5
2023-11-08,BLDG-754,7120.6,3461,0.76,41.8,13.6
2023-01-02,BLDG-723,2078.9,3494,0.97,41.6,38.8
2023-01-29,BLDG-436,11656.0,2610,0.55,52.7,37.2
2023-06-05,BLDG-443,1423.5,3300,0.54,62.4,36.4
2023-12-28,BLDG-387,16646.9,3953,0.93,20.6,27.5
2023-03-15,BLDG-695,4365.8,1750,0.66,62.2,17.1
2023-07-20,BLDG-905,6819.1,2102,0.89,53.9,37.8
2023-12-08,BLDG-510,7081.5,1800,0.8,29.5,14.0
2023-10-08,BLDG-684,17768.5,3368,0.78,53.3,32.7
2023-11-07,BLDG-847,9231.2,3671,0.71,36.5,32.1
2023-01-21,BLDG-838,15033.2,1733,0.68,69.5,22.4
2023-01-19,BLDG-358,17917.2,4409,0.61,61.9,36.1
2023-03-27,BLDG-241,6746.8,787,0.77,67.7,29.2
2023-07-30,BLDG-304,2916.2,1357,1.0,60.3,26.3
2023-06-11,BLDG-639,7756.4,746,0.73,27.7,33.4
2023-08-05,BLDG-218,4408.2,4096,0.63,56.8,19.1
2023-11-12,BLDG-184,7832.7,1009,0.73,57.0,14.2
2023-03-16,BLDG-429,5703.9,2633,0.86,51.2,38.8
2023-04-30,BLDG-602,2301.4,1676,0.7,37.0,24.0
2023-07-07,BLDG-898,19800.6,2863,0.86,47.0,17.2
2023-03-28,BLDG-295,15174.1,3669,0.66,52.5,12.0
2023-11-30,BLDG-898,5241.7,3949,0.6,58.8,18.2
2023-02-11,BLDG-773,13734.6,2104,0.59,59.4,19.2
2023-08-23,BLDG-270,4631.3,4840,0.56,61.2,28.9
2023-11-29,BLDG-540,12377.3,4892,0.68,62.9,25.8
2023-11-04,BLDG-541,18696.2,602,0.89,38.1,39.4
2023-06-14,BLDG-885,9078.5,1418,0.94,51.5,33.1
2023-09-03,BLDG-446,16480.9,3704,0.63,50.4,33.7
2023-01-13,BLDG-411,11407.5,2896,0.58,60.4,26.4
2023-07-16,BLDG-354,13970.2,2233,0.86,24.4,31.2
2023-04-01,BLDG-312,9351.2,1394,0.75,29.2,22.6
2023-08-02,BLDG-578,17452.2,3595,0.78,41.5,30.3
2023-10-28,BLDG-134,7294.5,4917,0.79,69.2,16.8
2023-03-08,BLDG-829,17100.0,2772,0.75,30.0,19.1
2023-09-01,BLDG-830,9148.0,4467,0.78,68.3,11.0
2023-05-27,BLDG-809,8868.8,2743,0.62,30.8,23.7
2023-06-13,BLDG-128,12418.0,4904,0.71,27.9,37.8
2023-11-08,BLDG-102,18403.6,1973,0.62,46.1,33.9
2023-05-13,BLDG-684,16435.2,1250,0.96,33.2,37.7
2023-09-05,BLDG-795,2866.9,1874,0.68,69.9,16.8
2023-07-20,BLDG-189,18714.2,3801,0.53,48.6,11.4
2023-12-24,BLDG-878,9813.4,2794,0.87,35.3,37.5
2023-02-18,BLDG-159,7083.3,3361,0.66,51.5,20.1
2023-05-15,BLDG-356,6030.2,3643,0.6,27.6,36.4
2023-09-09,BLDG-350,16804.7,1160,0.58,69.4,17.0
2023-07-07,BLDG-140,4342.4,969,0.94,49.9,25.5
2023-09-19,BLDG-889,15162.1,826,0.83,64.5,34.4
2023-06-15,BLDG-139,8000.5,601,0.73,26.2,33.2
2023-08-07,BLDG-544,11334.0,2489,0.96,62.5,37.6
2023-08-30,BLDG-413,8559.4,1253,0.82,40.9,26.5
2023-10-01,BLDG-990,5257.6,1956,0.56,37.6,12.5
2023-11-16,BLDG-656,7837.7,3209,0.87,37.4,30.2
2023-05-24,BLDG-861,8568.6,4706,0.85,22.2,13.6
2023-08-04,BLDG-330,14624.9,4279,0.85,56.4,12.2
2023-01-30,BLDG-830,12220.0,4989,0.77,46.5,21.1
2023-10-21,BLDG-652,9734.1,1865,0.64,58.0,36.2
2023-09-18,BLDG-659,8935.9,1798,0.76,53.9,28.9
2023-11-21,BLDG-481,9156.3,1414,0.64,43.5,10.0
2023-09-05,BLDG-256,16228.1,939,0.72,63.2,11.8
2023-01-21,BLDG-763,19921.1,4719,0.66,43.7,24.5
2023-12-17,BLDG-536,14549.1,2459,0.8,25.3,36.0
2023-04-23,BLDG-275,14048.7,2350,0.95,30.0,37.4
2023-03-14,BLDG-314,9171.8,623,0.72,50.4,17.8
2023-02-10,BLDG-549,14020.7,2319,0.66,44.0,13.1
2023-09-16,BLDG-824,19790.7,4410,0.71,27.4,36.3
2023-02-14,BLDG-762,1204.5,2437,0.81,45.8,31.8
2023-07-16,BLDG-305,11505.3,2462,0.6,29.2,37.7
2023-08-08,BLDG-683,8015.3,4242,0.74,32.5,13.8
2023-02-02,BLDG-340,10497.6,2613,0.92,50.9,16.4
2023-09-06,BLDG-828,13027.9,1981,0.87,52.0,19.5
2023-02-23,BLDG-931,14581.5,3265,0.67,26.1,25.4
2023-08-25,BLDG-656,2834.2,1637,0.81,53.3,25.1
2023-11-09,BLDG-439,16083.1,1589,0.92,25.8,20.4
2023-09-17,BLDG-945,13918.3,4451,0.65,47.8,35.6
2023-07-30,BLDG-930,7871.4,4871,0.74,53.1,31.8
2023-08-10,BLDG-610,5521.1,3197,0.69,23.4,25.3
2023-11-23,BLDG-339,1422.9,2032,0.69,50.2,18.2
2023-09-13,BLDG-998,15640.0,2033,0.84,43.4,28.9
2023-04-12,BLDG-160,2500.9,4050,0.9,25.0,28.5
2023-06-28,BLDG-365,17572.6,1960,0.6,29.2,13.8
2023-02-26,BLDG-399,12556.6,3363,0.75,61.2,33.5
2023-11-02,BLDG-830,15530.5,552,0.59,43.7,23.9
2023-07-06,BLDG-679,13514.5,2703,0.6,32.1,34.9
2023-08-26,BLDG-397,9022.9,2712,0.99,40.5,23.0
2023-01-18,BLDG-150,10274.7,3947,0.53,60.3,29.9
2023-03-31,BLDG-683,10109.6,2399,0.56,34.8,23.7
2023-04-16,BLDG-451,10175.9,972,0.51,45.6,28.1
2023-05-19,BLDG-955,17153.0,3710,0.89,55.9,30.3
2023-07-12,BLDG-289,14339.8,4834,0.73,38.7,25.2
2023-03-20,BLDG-293,3828.0,3812,0.63,29.6,27.1
2023-08-15,BLDG-222,10034.1,4765,0.5,37.1,13.8
2023-10-30,BLDG-590,17415.8,4881,0.58,63.2,17.3
2023-12-09,BLDG-435,15535.1,2963,0.6,54.9,20.2
2023-09-30,BLDG-895,17861.0,3650,0.58,21.8,25.4
2023-11-14,BLDG-553,3739.0,4573,0.5,59.4,35.1
2023-08-26,BLDG-254,14772.1,3411,0.67,62.7,30.3
2023-10-21,BLDG-148,2584.4,1295,0.57,52.6,17.2
2023-04-23,BLDG-220,10153.5,3696,0.92,65.4,13.2
2023-11-26,BLDG-406,6811.0,3940,0.88,23.7,38.3
2023-09-10,BLDG-919,2088.9,3130,0.62,59.7,22.0
2023-01-16,BLDG-115,13375.6,3886,0.77,57.7,18.9
2023-03-19,BLDG-212,17509.2,2847,0.98,47.4,10.0
2023-09-03,BLDG-161,11251.7,4665,0.94,49.6,35.5
2023-07-16,BLDG-473,9115.7,2911,0.75,50.4,17.0
2023-01-23,BLDG-210,10711.7,4390,0.84,62.1,18.1
2023-03-17,BLDG-275,3411.8,2457,0.58,36.5,10.7
2023-08-15,BLDG-811,12045.5,1744,0.57,25.0,14.6
2023-03-03,BLDG-977,5286.0,2870,0.96,34.3,19.5
2023-08-27,BLDG-293,7397.4,2187,0.57,57.8,36.3
2023-11-26,BLDG-191,1526.4,3805,0.69,61.0,33.0
2023-10-22,BLDG-437,17486.1,2958,0.6,22.0,34.7
2023-09-05,BLDG-370,5061.9,828,0.69,41.2,18.5
2023-12-30,BLDG-561,12780.5,1617,0.97,60.4,31.8
2023-01-29,BLDG-536,5760.7,2097,0.53,36.9,19.1
2023-11-07,BLDG-639,16021.8,1800,0.57,49.9,25.7
2023-10-15,BLDG-296,11453.5,2802,0.71,42.5,37.3
2023-12-29,BLDG-981,12187.8,3066,0.75,42.3,32.3
2023-06-10,BLDG-417,16573.3,1136,0.94,61.3,33.2
2023-09-04,BLDG-863,19540.4,4742,0.7,47.0,24.5
2023-03-07,BLDG-646,6280.4,3649,0.73,25.5,23.9
2023-05-15,BLDG-625,16672.0,1311,0.66,42.3,28.6
2023-12-06,BLDG-341,18591.9,3893,0.92,57.2,37.5
2023-11-19,BLDG-164,13149.8,2457,0.9,63.0,25.3
2023-10-08,BLDG-115,8801.6,1450,0.67,53.6,16.7
2023-08-09,BLDG-260,10539.1,4659,0.67,20.6,16.5
2023-08-01,BLDG-913,11678.6,4342,0.98,50.5,30.8
2023-05-03,BLDG-536,13743.2,3299,0.54,51.2,13.9
2023-09-09,BLDG-892,8336.3,2337,0.65,63.1,22.2
2023-11-23,BLDG-509,19756.3,4253,0.6,40.3,16.9
2023-06-25,BLDG-191,7616.0,1684,0.94,55.5,29.3
2023-09-23,BLDG-227,1088.8,2119,0.8,36.7,21.4
2023-01-17,BLDG-510,10379.2,2178,0.68,69.2,18.9
2023-08-30,BLDG-394,10425.8,4443,0.52,50.3,32.6
2023-09-24,BLDG-609,11288.6,4262,0.58,22.1,35.9
2023-03-04,BLDG-610,8427.4,4154,0.56,56.5,24.7
2023-10-04,BLDG-122,18070.3,2794,0.83,48.0,17.9
2023-01-15,BLDG-715,16211.4,4058,0.6,62.7,18.5
2023-11-26,BLDG-868,19031.4,4885,0.91,46.4,12.5
2023-08-04,BLDG-154,18414.4,4819,0.93,62.6,12.1
2023-07-11,BLDG-531,12092.6,935,0.51,45.8,24.9
2023-04-08,BLDG-980,13879.7,959,0.74,53.1,29.5
2023-12-13,BLDG-728,13498.3,3414,0.96,25.8,17.8
2023-07-17,BLDG-217,1777.1,3544,0.84,33.4,12.3
2023-09-13,BLDG-978,5387.7,4497,0.73,43.8,30.4
2023-03-01,BLDG-368,19753.3,2602,0.9,49.3,11.8
2023-11-12,BLDG-691,1608.8,4639,0.55,60.3,22.3
2023-05-29,BLDG-629,10157.4,4727,0.89,50.9,14.8
2023-12-21,BLDG-556,4348.0,4001,0.5,28.2,18.4
2023-12-24,BLDG-930,8974.4,1235,0.82,61.0,12.8
2023-11-09,BLDG-597,2321.0,1119,0.84,32.4,14.8
2023-04-05,BLDG-240,17931.6,3847,0.92,60.1,36.7
2023-07-30,BLDG-840,6412.1,4775,0.98,57.1,10.6
2023-11-07,BLDG-743,2952.6,2820,0.55,48.5,20.2
2023-12-26,BLDG-806,1110.3,1667,0.78,50.6,33.9
2023-09-02,BLDG-143,1247.6,3566,0.81,68.0,32.9
2023-02-05,BLDG-810,1645.1,1313,0.95,27.2,23.1
2023-03-26,BLDG-132,7732.9,3008,0.67,34.1,33.5
2023-12-09,BLDG-486,5113.6,1654,0.64,59.0,25.5
2023-07-19,BLDG-258,15399.6,3198,0.94,43.0,26.4
2023-07-25,BLDG-782,12827.8,4282,0.74,23.0,24.8
2023-04-08,BLDG-972,7164.1,3111,0.93,55.0,29.4
2023-09-24,BLDG-644,8659.3,902,0.94,47.7,14.8
2023-07-12,BLDG-437,9532.2,3066,0.59,24.5,37.0
2023-03-06,BLDG-793,18633.9,2691,0.52,30.6,24.9
2023-12-22,BLDG-228,13721.9,805,0.98,40.7,10.3
2023-06-26,BLDG-917,4760.3,657,0.52,39.9,27.0
2023-04-07,BLDG-976,12682.7,1501,0.72,61.4,19.6
2023-08-23,BLDG-862,13365.5,1336,0.58,65.0,19.1
2023-01-01,BLDG-620,7652.7,3514,0.69,49.2,23.3
2023-07-12,BLDG-650,2841.3,3715,0.87,44.1,18.0
2023-01-03,BLDG-176,9994.1,3169,0.76,36.7,25.4
2023-01-18,BLDG-754,11504.8,4867,0.91,63.0,37.2
2023-03-10,BLDG-637,15710.5,2726,0.76,61.9,30.0
2023-05-21,BLDG-566,16391.0,4227,0.57,32.5,16.4
2023-01-24,BLDG-406,6912.5,1826,0.93,69.7,22.8
2023-09-02,BLDG-360,9792.9,3801,0.69,57.7,30.2
2023-03-17,BLDG-566,13324.5,4071,0.58,39.3,19.3
2023-07-20,BLDG-401,19865.1,4738,0.81,57.2,31.9
2023-08-01,BLDG-685,7991.9,972,0.7,31.5,35.0
2023-03-19,BLDG-953,15018.6,2355,0.82,50.5,20.6
2023-08-07,BLDG-446,11561.9,3728,0.65,44.6,34.7
2023-07-10,BLDG-879,7990.4,1263,0.54,65.5,19.1
2023-10-31,BLDG-139,6750.8,1810,0.66,63.7,18.8
2023-12-16,BLDG-766,17781.9,4698,0.96,54.6,38.7
2023-11-24,BLDG-411,11390.7,2825,0.82,45.6,36.9
2023-05-08,BLDG-726,2385.7,931,0.53,37.6,15.9
2023-06-11,BLDG-930,17542.1,3427,0.81,65.5,36.1
2023-11-18,BLDG-163,16230.8,3474,0.54,55.9,20.1
2023-02-19,BLDG-308,16376.0,2927,0.79,66.3,15.6
2023-02-01,BLDG-420,2158.6,4586,0.63,68.0,37.8
2023-09-30,BLDG-645,9356.8,4677,0.97,66.1,20.8
2023-03-04,BLDG-902,15096.3,4602,0.86,42.3,33.0
2023-04-13,BLDG-679,9765.6,1530,0.69,29.4,17.3
2023-10-22,BLDG-375,12960.2,2028,0.77,54.4,10.1
2023-12-22,BLDG-568,19101.3,4641,0.57,61.9,35.5
2023-07-10,BLDG-325,17268.6,1179,0.89,69.0,30.3
2023-02-25,BLDG-860,8336.9,2978,0.87,23.8,32.5
2023-06-14,BLDG-686,3745.7,4789,0.57,49.6,16.2
2023-01-20,BLDG-500,3542.8,1187,0.86,44.8,21.6
2023-01-02,BLDG-989,8376.2,2817,0.71,62.0,26.3
2023-02-09,BLDG-583,1748.5,3212,0.61,37.0,24.6
2023-02-22,BLDG-988,16339.0,4814,0.84,48.5,39.8
2023-02-12,BLDG-163,19328.1,4063,0.99,55.2,17.1
2023-10-10,BLDG-582,2703.6,1178,0.75,21.2,16.8
2023-08-26,BLDG-250,9375.8,4994,0.52,37.4,32.5
2023-05-20,BLDG-111,19471.3,3051,0.89,57.2,31.3
2023-12-14,BLDG-363,2448.2,2949,0.78,28.8,13.0
2023-10-09,BLDG-141,11572.1,3600,0.58,54.9,32.2
2023-10-07,BLDG-974,7621.2,2961,0.91,62.2,28.4
2023-07-28,BLDG-323,15177.3,2430,0.62,31.3,21.1
2023-12-13,BLDG-844,16884.3,1610,0.87,34.5,38.1
2023-04-16,BLDG-699,17352.0,1732,0.66,31.9,13.8
2023-05-02,BLDG-102,12646.2,1047,0.82,49.9,16.0
2023-06-05,BLDG-903,8952.8,4707,0.79,34.4,34.3
2023-03-24,BLDG-285,11706.3,1990,0.53,44.8,18.2
2023-04-13,BLDG-510,10734.2,1803,0.95,42.0,16.5
2023-12-14,BLDG-196,6306.4,930,0.61,55.0,22.3
2023-05-05,BLDG-469,3275.7,4315,0.57,59.4,17.9
2023-05-31,BLDG-998,16086.7,1230,0.51,32.3,32.1
2023-03-08,BLDG-759,16899.2,4123,0.82,35.8,29.0
2023-04-19,BLDG-535,8791.0,4926,0.82,68.8,32.9
2023-10-25,BLDG-765,6184.9,3201,0.74,68.3,23.7
2023-08-23,BLDG-674,12445.6,1368,0.72,31.3,22.9
2023-07-03,BLDG-200,6387.0,924,0.87,38.4,13.1
2023-04-18,BLDG-280,5631.2,1247,0.89,50.7,28.6
2023-09-06,BLDG-752,7195.5,4326,0.66,39.0,22.7
2023-08-30,BLDG-746,11542.7,4695,0.82,52.7,38.5
2023-01-30,BLDG-812,13855.9,2808,0.79,27.9,33.3
2023-12-03,BLDG-255,4301.4,2360,0.52,36.5,12.3
2023-11-07,BLDG-533,14229.4,2468,0.89,51.7,15.9
2023-11-01,BLDG-537,4797.9,3838,0.7,35.1,39.8
2023-05-28,BLDG-949,6819.0,4514,0.58,66.9,15.6
2023-02-02,BLDG-618,9464.3,1485,0.77,69.0,35.5
2023-09-26,BLDG-912,19973.0,2257,0.8,53.3,32.4
2023-11-19,BLDG-819,17088.7,1091,0.72,58.5,39.5
2023-04-06,BLDG-548,6155.2,2645,0.74,25.4,13.3
2023-04-26,BLDG-869,15856.9,4189,0.74,22.2,29.5
2023-02-12,BLDG-459,18319.0,509,0.71,60.9,37.4
2023-02-13,BLDG-300,11746.8,3022,0.99,27.6,14.4
2023-07-05,BLDG-224,12495.8,3311,0.53,63.1,16.2
2023-04-04,BLDG-329,11244.6,3741,0.79,40.9,11.2
2023-11-02,BLDG-546,19844.5,2287,0.53,24.4,37.9
2023-04-07,BLDG-842,10094.6,544,0.86,21.1,37.7
2023-06-05,BLDG-881,3350.9,2530,0.52,62.8,22.1
2023-08-03,BLDG-406,7134.2,794,0.58,59.3,17.0
2023-02-17,BLDG-914,14491.3,4231,0.85,52.5,18.1
2023-11-12,BLDG-534,8256.1,1302,0.55,27.6,34.6
2023-03-11,BLDG-259,12306.1,4580,0.96,24.0,17.0
2023-05-15,BLDG-833,12458.8,4825,0.59,53.5,27.9
2023-09-19,BLDG-487,8508.1,4039,0.68,52.2,18.6
2023-03-23,BLDG-399,4756.9,4071,0.9,61.4,26.4
2023-07-13,BLDG-538,10192.4,3010,0.86,62.7,10.3
2023-11-12,BLDG-658,14133.8,3314,0.68,54.0,10.1
2023-07-24,BLDG-847,12662.8,3245,0.58,25.3,20.7
2023-02-27,BLDG-941,17052.9,2831,0.95,39.0,27.0
2023-08-31,BLDG-880,14933.0,3888,0.57,41.3,39.4
2023-11-01,BLDG-290,11958.7,517,0.57,34.4,11.4
2023-04-02,BLDG-148,5438.3,1837,0.9,61.5,34.9
2023-09-30,BLDG-432,4577.4,4931,0.67,52.2,27.1
2023-11-15,BLDG-468,3952.4,3273,0.98,36.5,15.7
2023-04-13,BLDG-631,10030.7,1715,0.69,44.1,13.3
2023-01-25,BLDG-718,12839.5,2994,0.63,21.0,10.5
2023-08-24,BLDG-286,2182.0,2246,0.97,65.3,27.0
2023-06-21,BLDG-469,17999.0,1755,0.66,44.6,16.7
2023-05-24,BLDG-703,15218.4,650,0.96,38.6,10.3
2023-05-16,BLDG-334,15126.3,4933,0.64,56.3,15.2
2023-04-10,BLDG-733,7095.8,4322,0.66,43.7,30.4
2023-11-13,BLDG-451,19970.7,3264,0.61,41.4,19.6
2023-06-07,BLDG-390,5877.5,1156,0.63,50.0,15.1
2023-03-03,BLDG-510,10121.1,2724,0.87,69.8,37.9
2023-04-15,BLDG-819,15396.9,545,0.58,20.7,30.3
2023-12-10,BLDG-954,7595.2,2464,0.6,23.5,26.1
2023-05-18,BLDG-682,3241.8,2781,0.62,27.3,30.0
2023-05-25,BLDG-751,17333.5,710,0.71,48.5,17.4
2023-05-09,BLDG-474,11072.0,2137,0.85,25.5,35.6
2023-07-01,BLDG-924,4573.1,4460,0.55,20.6,13.8
2023-05-18,BLDG-283,18847.0,3847,0.7,56.7,39.9
2023-12-24,BLDG-921,7626.5,3974,0.56,69.3,38.9
2023-01-31,BLDG-173,11688.9,3866,0.91,39.9,27.4
2023-07-09,BLDG-314,15220.7,1298,0.83,42.2,22.0
2023-09-17,BLDG-556,4019.8,2244,0.91,63.9,22.5
2023-02-05,BLDG-491,10246.9,4081,0.63,37.2,10.3
2023-10-22,BLDG-538,2796.2,1241,0.91,54.0,14.6
2023-10-09,BLDG-728,14246.9,4310,0.69,32.4,18.6
2023-05-16,BLDG-922,2697.3,585,0.87,47.1,21.6
2023-07-03,BLDG-318,2465.5,521,0.68,23.5,16.2
2023-08-22,BLDG-374,18067.6,718,0.58,58.4,30.1
2023-04-27,BLDG-994,11602.4,3652,0.64,47.9,29.7
2023-05-28,BLDG-634,7191.7,960,0.72,31.3,14.1
2023-04-28,BLDG-537,14777.1,2670,0.66,32.7,24.1
