forecast_date,condition,temp_high_C,temp_low_C,precipitation_mm,humidity_percent,wind_speed_kmh
2023-07-08,Thunderstorm,38.4,28.1,2.5,65,20.9
2023-08-17,Thunderstorm,20.9,9.2,29.8,61,40.5
2023-08-27,Snow,3.9,-1.7,23.5,72,5.4
2023-04-04,Sunny,-0.8,-12.7,5.0,44,18.5
2023-03-15,Snow,30.3,15.9,1.6,69,6.6
2023-11-02,Rain,6.4,-2.2,14.0,95,48.3
2023-08-22,Cloudy,-0.2,-8.9,10.5,50,10.7
2023-05-26,Snow,4.7,-3.3,28.7,75,37.4
2023-04-10,Rain,34.2,31.9,0.0,42,46.3
2023-12-09,Sunny,24.7,17.2,48.8,74,5.7
2023-08-06,Partly Cloudy,16.3,3.5,29.2,84,54.0
2023-01-31,Sunny,33.1,18.7,0.0,47,50.2
2023-04-09,Cloudy,10.3,-1.1,0.0,84,0.1
2023-05-11,Rain,14.9,9.2,2.9,31,54.5
2023-09-10,Snow,28.8,15.6,12.7,63,5.2
2023-08-06,Rain,-0.3,-7.2,7.3,70,28.8
2023-01-01,Fog,33.5,18.9,0.0,92,27.9
2023-12-24,Thunderstorm,21.0,7.3,0.0,71,24.8
2023-01-10,Snow,16.0,12.8,0.0,37,53.4
2023-01-14,Sunny,-7.5,-18.7,7.1,71,34.1
2023-02-23,Partly Cloudy,-2.1,-16.7,29.7,65,10.7
2023-08-04,Rain,19.5,16.0,22.0,78,55.7
2023-06-23,Partly Cloudy,10.5,0.6,31.2,99,50.5
2023-10-28,Rain,26.7,23.1,0.0,29,41.0
2023-12-08,Partly Cloudy,-1.4,-14.6,0.0,39,39.9
2023-05-23,Partly Cloudy,13.3,4.2,0.0,56,17.9
2023-08-24,Partly Cloudy,2.3,-9.0,0.0,36,4.9
2023-10-29,Snow,1.6,-0.4,0.0,58,34.3
2023-07-25,Cloudy,31.1,27.4,42.8,96,23.5
2023-03-23,Fog,-8.1,-21.0,42.2,28,30.7
2023-10-12,Fog,35.5,28.8,37.7,29,21.8
2023-04-11,Rain,16.0,6.7,0.0,27,46.1
2023-04-24,Fog,30.0,17.4,41.4,37,28.2
2023-11-29,Thunderstorm,23.2,10.2,0.0,30,45.1
2023-03-22,Fog,-7.0,-15.9,0.0,53,59.9
2023-07-31,Fog,15.1,12.6,18.0,34,47.6
2023-09-13,Thunderstorm,-4.1,-15.8,0.0,42,39.7
2023-11-25,Snow,33.6,23.3,3.8,39,21.8
2023-12-11,Sunny,-2.4,-16.2,3.1,39,56.4
2023-03-15,Snow,23.9,15.0,19.0,29,14.4
2023-09-05,Thunderstorm,16.4,2.3,8.4,30,48.2
2023-05-08,Snow,7.9,1.2,12.9,20,46.7
2023-03-19,Sunny,25.3,11.3,29.9,43,35.5
2023-03-11,Rain,32.5,23.5,9.5,70,2.0
2023-11-30,Sunny,-5.4,-19.0,0.0,36,34.9
2023-07-19,Thunderstorm,25.6,22.7,5.8,66,6.8
2023-05-26,Rain,18.0,9.6,30.5,64,19.6
2023-03-04,Fog,10.6,2.2,0.0,54,53.1
2023-01-07,Cloudy,19.6,12.8,3.3,93,28.8
2023-03-20,Thunderstorm,20.0,12.4,44.5,83,12.0
2023-05-17,Sunny,-4.5,-15.0,0.0,97,22.3
2023-09-08,Snow,2.6,-8.7,0.0,47,16.0
2023-12-02,Snow,12.3,3.8,22.0,42,16.7
2023-10-31,Snow,32.2,26.2,25.9,98,43.6
2023-07-30,Partly Cloudy,-3.7,-10.5,37.9,56,0.4
2023-08-26,Rain,18.2,11.9,27.3,78,2.7
2023-08-06,Rain,19.1,10.2,27.5,79,11.4
2023-09-22,Rain,28.7,15.9,45.6,43,11.7
2023-06-10,Thunderstorm,32.5,26.9,0.0,66,22.1
2023-08-08,Rain,29.9,20.7,0.0,33,2.8
2023-10-24,Thunderstorm,6.5,-5.3,8.8,37,2.9
2023-03-13,Snow,23.0,11.9,0.0,96,44.1
2023-07-11,Cloudy,-6.2,-10.9,4.1,88,32.9
2023-05-14,Cloudy,-2.9,-17.5,0.0,32,31.7
2023-05-17,Sunny,-1.0,-10.2,0.0,25,31.3
2023-03-03,Snow,32.1,25.7,0.0,99,28.0
2023-02-04,Fog,13.6,6.6,3.5,83,17.0
2023-01-22,Thunderstorm,17.0,13.0,17.6,67,26.0
2023-03-07,Rain,25.1,11.6,19.9,85,40.8
2023-04-03,Cloudy,-6.9,-19.3,0.0,30,9.4
2023-11-24,Cloudy,23.5,18.5,0.0,91,26.7
2023-04-27,Partly Cloudy,3.7,0.9,4.2,50,59.7
2023-12-27,Rain,-5.0,-9.9,40.4,24,34.3
2023-07-17,Sunny,-9.4,-13.2,0.0,47,2.2
2023-03-16,Thunderstorm,36.9,22.6,36.7,28,33.0
2023-10-31,Partly Cloudy,28.4,16.8,0.0,100,3.8
2023-09-10,Fog,-2.7,-11.0,13.5,89,22.2
2023-01-07,Snow,19.2,6.9,12.2,48,17.0
2023-04-28,Partly Cloudy,30.3,21.4,32.7,45,59.9
2023-03-13,Cloudy,6.7,-1.8,37.7,54,43.7
2023-08-02,Thunderstorm,4.5,-4.7,45.4,92,46.0
2023-06-18,Thunderstorm,4.9,-0.7,29.5,61,30.4
2023-03-24,Snow,32.0,22.3,0.0,44,52.2
2023-12-15,Fog,19.9,7.9,0.0,97,28.6
2023-06-05,Rain,31.0,28.3,11.9,59,27.0
2023-04-03,Sunny,22.4,14.8,6.9,47,21.8
2023-03-25,Cloudy,19.5,12.0,38.7,100,17.7
2023-06-18,Partly Cloudy,30.4,18.1,0.0,42,56.4
2023-10-13,Rain,16.4,4.2,49.7,59,11.5
2023-05-27,Partly Cloudy,28.7,15.4,48.9,28,4.4
2023-05-23,Thunderstorm,5.2,1.9,14.3,37,9.8
2023-08-27,Thunderstorm,-8.5,-15.4,0.0,36,45.3
2023-05-10,Partly Cloudy,33.5,25.2,0.0,93,18.4
2023-02-24,Cloudy,-2.6,-13.3,39.8,35,4.4
2023-02-14,Sunny,38.6,35.6,28.4,24,7.9
2023-09-28,Cloudy,-1.7,-6.4,13.0,61,58.9
2023-08-13,Partly Cloudy,-5.4,-17.7,1.9,93,45.9
2023-08-08,Rain,22.5,7.7,41.8,64,24.9
2023-02-06,Snow,15.7,2.4,36.3,96,46.0
2023-01-19,Snow,20.1,5.5,20.8,20,44.1
2023-08-16,Thunderstorm,-7.4,-14.7,29.0,64,37.5
2023-04-23,Rain,27.6,20.8,3.8,87,17.6
2023-07-30,Partly Cloudy,31.8,17.4,41.2,88,51.5
2023-02-27,Snow,2.6,-1.1,13.8,26,1.3
2023-06-30,Cloudy,9.5,1.5,36.5,98,7.0
2023-05-19,Fog,33.5,26.2,48.6,91,34.3
2023-04-18,Sunny,22.8,13.0,0.0,61,11.7
2023-09-23,Rain,-9.6,-15.2,0.0,72,37.6
2023-09-13,Sunny,-2.1,-13.0,0.0,77,39.4
2023-06-26,Fog,20.1,18.0,12.7,69,29.7
2023-02-13,Snow,-1.5,-12.4,0.0,66,40.3
2023-06-27,Snow,34.0,20.4,3.3,65,12.5
2023-03-10,Sunny,-3.6,-18.2,0.0,50,44.4
2023-07-19,Rain,28.9,14.7,34.8,76,36.7
2023-06-21,Cloudy,35.6,30.4,0.0,90,16.1
2023-09-26,Thunderstorm,1.6,-11.8,0.0,91,0.7
2023-03-08,Rain,-8.0,-20.2,27.5,100,5.4
2023-07-24,Thunderstorm,39.9,36.4,9.1,83,48.4
2023-06-12,Fog,-1.1,-5.3,0.0,64,24.1
2023-04-19,Snow,7.1,2.3,0.0,68,12.6
2023-10-20,Partly Cloudy,4.9,0.1,0.0,82,43.8
2023-01-06,Snow,11.7,3.5,14.0,39,19.5
2023-09-07,Partly Cloudy,21.7,9.2,43.2,78,21.3
2023-12-28,Cloudy,32.0,19.6,38.0,56,45.7
2023-01-23,Snow,25.5,22.7,42.9,44,59.3
2023-08-28,Rain,36.7,26.7,4.6,20,35.6
2023-12-23,Partly Cloudy,3.0,0.2,29.9,62,31.9
2023-09-04,Fog,7.4,4.6,0.0,54,19.3
2023-08-18,Snow,6.7,4.6,42.2,64,40.1
2023-02-12,Thunderstorm,36.7,31.6,0.0,65,46.5
2023-07-29,Partly Cloudy,19.9,6.1,42.3,89,58.7
2023-12-15,Snow,2.2,-6.2,0.0,73,29.0
2023-09-29,Sunny,12.9,7.5,0.0,94,14.8
2023-12-04,Fog,-1.9,-10.7,0.0,45,35.9
2023-05-31,Cloudy,6.4,0.3,0.0,28,39.3
2023-06-13,Snow,4.3,-5.2,0.0,74,13.9
2023-03-24,Sunny,7.7,-5.4,45.7,22,33.2
2023-06-10,Thunderstorm,19.3,7.3,0.0,96,22.9
2023-05-10,Fog,10.7,5.2,20.5,85,39.9
2023-10-20,Thunderstorm,3.5,-6.4,47.4,31,54.2
2023-02-10,Thunderstorm,-1.7,-14.6,0.0,74,33.6
2023-03-24,Cloudy,40.0,34.3,0.0,95,28.3
2023-05-23,Sunny,35.1,24.4,0.0,59,11.4
2023-06-19,Sunny,21.6,18.2,5.4,23,34.8
2023-08-17,Fog,27.0,24.8,0.0,50,9.1
2023-03-11,Cloudy,2.0,-3.0,21.4,31,48.6
2023-03-02,Rain,35.8,21.2,14.9,68,49.5
2023-01-18,Cloudy,-8.0,-22.8,0.0,53,14.2
2023-11-30,Fog,13.5,1.3,0.0,38,53.6
2023-05-23,Rain,9.2,-4.2,28.9,80,24.8
2023-01-28,Snow,13.3,4.3,0.0,27,9.5
2023-08-21,Sunny,2.0,-1.6,19.0,77,29.9
2023-10-08,Partly Cloudy,28.2,21.4,0.0,84,14.5
2023-07-16,Thunderstorm,33.9,24.4,0.0,39,44.7
2023-09-07,Sunny,2.6,-2.1,41.2,48,1.4
2023-04-03,Thunderstorm,24.3,15.0,32.8,38,38.3
2023-10-13,Sunny,-0.1,-8.6,40.1,23,53.3
2023-01-31,Sunny,33.5,19.1,48.7,64,50.4
2023-08-16,Rain,-8.5,-11.1,37.4,87,56.8
2023-11-17,Sunny,24.9,12.8,2.7,94,48.9
2023-08-15,Sunny,32.0,18.0,0.0,63,24.8
2023-12-14,Partly Cloudy,38.7,24.5,0.0,63,20.5
2023-12-28,Snow,8.8,0.4,41.5,29,23.1
2023-09-10,Partly Cloudy,10.9,3.2,0.0,94,47.2
2023-01-09,Partly Cloudy,13.4,10.1,49.6,38,9.8
2023-05-03,Thunderstorm,34.3,23.6,0.0,32,8.3
2023-02-25,Cloudy,12.7,2.0,0.0,44,56.6
2023-08-02,Cloudy,1.1,-1.2,0.0,41,16.1
2023-11-08,Thunderstorm,-4.2,-11.4,0.0,89,54.2
2023-07-28,Sunny,-8.9,-20.2,0.0,55,42.9
2023-07-20,Sunny,36.7,23.2,32.6,97,18.9
2023-01-22,Rain,6.7,3.7,39.3,77,44.0
2023-05-24,Sunny,39.6,29.7,25.3,90,37.6
2023-05-10,Partly Cloudy,-0.1,-3.5,41.8,64,52.2
2023-08-06,Thunderstorm,7.5,-6.6,13.4,25,54.8
2023-04-26,Cloudy,1.8,-0.7,7.1,43,55.7
2023-12-14,Sunny,13.6,2.2,0.0,82,43.3
2023-02-07,Snow,28.9,19.5,47.0,28,51.6
2023-10-01,Thunderstorm,28.9,18.8,0.0,55,58.1
2023-10-31,Cloudy,35.1,24.2,0.0,65,27.2
2023-05-18,Fog,17.1,9.0,32.3,23,43.0
2023-10-16,Sunny,31.4,20.3,0.0,83,42.8
2023-03-08,Rain,22.3,7.5,49.1,84,27.2
2023-03-27,Fog,18.3,14.9,0.0,41,29.3
2023-02-14,Thunderstorm,-0.1,-5.4,39.2,52,12.6
2023-11-19,Rain,-5.8,-16.5,34.1,70,3.7
2023-10-28,Sunny,-3.5,-18.4,20.6,67,36.1
2023-10-23,Thunderstorm,18.1,5.8,0.0,73,8.8
2023-08-11,Fog,14.8,2.5,33.7,21,2.1
2023-05-04,Cloudy,34.9,20.1,0.0,46,56.3
2023-10-01,Partly Cloudy,31.6,27.3,10.0,31,6.6
2023-11-10,Thunderstorm,34.3,27.3,0.0,38,36.2
2023-09-08,Snow,3.3,-6.8,49.7,58,50.8
2023-10-15,Thunderstorm,16.2,6.4,34.7,34,13.4
2023-02-13,Cloudy,34.8,25.2,23.4,47,20.1
2023-10-16,Snow,16.1,1.7,10.2,92,13.9
2023-08-01,Snow,35.6,29.5,0.0,42,55.2
2023-06-27,Cloudy,34.0,21.0,5.1,88,12.6
2023-02-24,Rain,3.4,-4.0,0.0,74,27.1
2023-08-23,Partly Cloudy,23.6,13.6,27.7,86,14.2
2023-08-20,Fog,16.7,7.2,24.8,80,22.4
2023-01-18,Snow,38.4,34.9,0.0,92,13.5
2023-04-29,Snow,-2.1,-10.0,0.0,85,3.0
2023-06-16,Rain,29.8,24.4,0.0,71,33.4
2023-12-28,Fog,10.8,-3.2,0.0,57,13.7
2023-06-05,Snow,21.9,11.1,30.5,61,47.6
2023-09-09,Thunderstorm,36.4,24.1,0.0,32,6.0
2023-04-22,Cloudy,25.8,11.3,36.0,45,41.7
2023-11-08,Fog,10.2,-4.6,47.5,75,5.2
2023-10-31,Thunderstorm,-5.9,-20.1,14.6,62,17.0
2023-10-13,Fog,39.3,26.1,21.5,69,20.7
2023-03-01,Snow,4.9,2.6,0.0,45,58.6
2023-03-21,Rain,24.8,11.6,0.0,85,39.3
2023-01-10,Fog,-2.3,-6.2,0.0,91,12.9
2023-07-26,Cloudy,9.1,2.7,14.0,37,1.0
2023-04-28,Thunderstorm,31.6,21.4,36.5,84,51.3
2023-08-06,Partly Cloudy,14.3,7.1,0.0,100,24.6
2023-11-30,Sunny,35.6,25.9,0.0,100,10.3
2023-09-02,Rain,24.0,15.1,29.0,95,50.8
2023-10-24,Snow,25.7,17.0,48.6,37,46.3
2023-03-31,Cloudy,28.7,16.7,34.2,92,41.6
2023-06-05,Sunny,10.8,-3.4,0.0,80,52.4
2023-11-07,Fog,9.1,0.3,12.6,49,50.4
2023-09-07,Cloudy,27.5,19.3,22.4,98,30.8
2023-06-09,Partly Cloudy,8.8,-4.2,46.9,29,32.8
2023-09-10,Sunny,1.0,-9.8,0.0,98,19.9
2023-03-25,Cloudy,18.1,15.2,6.8,41,15.0
2023-11-13,Rain,39.4,25.4,2.6,82,36.0
2023-08-15,Sunny,-1.9,-5.4,10.3,38,35.3
2023-11-19,Rain,18.8,10.1,7.5,61,9.8
2023-06-17,Snow,18.8,4.8,0.5,96,55.4
2023-12-09,Sunny,38.7,33.7,9.7,75,35.2
2023-10-18,Sunny,10.5,1.5,40.8,80,38.2
2023-10-20,Cloudy,18.9,6.1,0.0,78,21.6
2023-06-13,Fog,30.6,21.7,8.5,40,1.1
2023-12-24,Rain,33.6,20.8,10.6,88,42.1
2023-06-15,Cloudy,1.5,-1.6,0.0,85,35.1
2023-02-27,Snow,24.8,14.0,17.7,77,25.1
2023-12-12,Fog,-3.7,-18.4,47.8,40,43.5
2023-04-29,Sunny,4.8,2.5,34.0,52,41.3
2023-05-31,Partly Cloudy,23.4,19.8,0.0,40,25.6
2023-06-29,Sunny,-6.8,-13.6,0.0,42,56.1
2023-12-14,Sunny,-5.7,-16.7,27.4,27,29.4
2023-03-06,Sunny,6.2,-7.1,15.7,99,10.6
2023-09-08,Partly Cloudy,20.8,17.6,0.0,71,28.7
2023-06-04,Fog,15.7,11.2,38.7,51,9.7
2023-10-08,Partly Cloudy,27.3,22.3,4.0,69,47.0
2023-01-02,Partly Cloudy,13.8,8.8,0.0,44,22.0
2023-02-05,Cloudy,13.4,6.1,42.6,42,20.9
2023-04-08,Thunderstorm,-1.3,-6.5,1.6,93,49.6
2023-08-19,Snow,-5.6,-12.9,0.0,66,48.1
2023-09-19,Rain,26.3,18.4,44.8,44,0.4
2023-08-31,Cloudy,8.3,-5.9,28.7,47,28.5
2023-10-23,Cloudy,38.3,29.5,0.0,24,9.7
2023-03-16,Thunderstorm,30.7,26.5,47.3,95,28.1
2023-12-23,Thunderstorm,25.5,17.2,0.0,57,30.7
2023-10-10,Partly Cloudy,-1.9,-4.9,23.5,82,32.5
2023-09-13,Cloudy,0.4,-5.0,0.0,79,12.9
2023-03-15,Thunderstorm,17.9,3.0,0.0,31,5.1
2023-01-13,Rain,20.9,7.4,22.5,84,6.5
2023-04-07,Cloudy,36.1,28.1,44.6,73,45.1
2023-06-28,Partly Cloudy,35.3,21.0,15.5,77,29.4
2023-10-26,Rain,6.5,-8.2,0.0,64,16.1
2023-12-01,Thunderstorm,6.9,-0.8,23.8,25,33.0
2023-05-15,Sunny,-6.5,-21.2,0.0,49,55.7
2023-06-26,Fog,-9.4,-21.0,0.0,22,0.0
2023-01-25,Cloudy,14.5,5.5,29.8,92,16.9
2023-09-03,Snow,28.7,19.4,49.9,31,37.1
2023-08-21,Snow,39.9,32.3,28.8,30,43.4
2023-08-19,Partly Cloudy,37.1,32.1,37.7,30,24.7
2023-07-27,Fog,30.4,27.0,15.7,59,52.5
2023-06-05,Rain,25.7,17.2,22.6,62,15.9
2023-08-06,Rain,6.9,3.5,44.8,52,23.3
2023-05-04,Rain,17.0,11.6,0.0,73,4.4
2023-01-07,Cloudy,24.1,16.5,0.0,81,26.5
2023-05-12,Snow,-0.4,-13.9,26.5,47,18.0
2023-10-13,Fog,10.1,1.7,0.0,98,42.0
2023-08-21,Snow,13.9,10.4,0.0,84,11.1
2023-04-22,Rain,36.2,29.7,34.5,53,51.3
2023-03-08,Snow,13.9,1.8,0.0,42,48.3
2023-11-29,Rain,-0.9,-4.5,47.7,47,31.4
2023-03-25,Snow,37.9,24.8,0.0,36,36.3
2023-10-03,Rain,23.0,10.8,0.0,61,51.7
2023-08-20,Snow,25.4,13.8,0.0,72,40.5
2023-07-19,Thunderstorm,33.7,23.5,12.6,82,44.9
2023-11-11,Rain,7.7,2.1,0.0,67,22.5
2023-08-26,Rain,-2.5,-6.8,0.0,43,21.4
2023-04-24,Rain,27.4,21.3,0.0,51,20.9
2023-08-22,Rain,-6.6,-12.3,27.0,44,52.8
2023-04-20,Thunderstorm,3.6,-0.2,46.7,83,44.8
2023-12-22,Snow,-0.6,-3.5,42.9,51,41.6
2023-06-02,Partly Cloudy,-7.0,-9.9,42.6,95,39.7
2023-12-27,Thunderstorm,34.7,22.4,30.1,31,37.0
2023-08-29,Thunderstorm,8.6,0.1,0.0,56,49.1
2023-12-28,Sunny,4.1,-6.8,0.0,64,59.0
2023-04-27,Rain,14.8,6.4,16.8,38,50.4
2023-08-27,Rain,5.1,-7.8,0.0,41,5.0
2023-12-09,Thunderstorm,29.3,23.7,45.1,85,28.2
2023-03-09,Partly Cloudy,19.8,8.3,29.9,43,46.6
2023-01-14,Partly Cloudy,28.5,13.8,0.0,64,17.6
2023-02-07,Thunderstorm,-3.5,-13.5,25.8,88,19.6
2023-03-03,Thunderstorm,17.8,3.3,0.0,78,35.2
2023-06-10,Rain,4.2,-1.1,48.4,56,56.6
2023-08-19,Fog,16.8,3.4,37.9,58,3.2
2023-11-04,Fog,9.3,-1.9,45.0,65,37.2
2023-05-06,Thunderstorm,34.2,23.0,28.1,82,5.0
2023-07-20,Sunny,0.1,-11.7,0.0,43,39.4
2023-08-03,Snow,3.4,-8.7,18.4,43,50.6
2023-04-25,Snow,-6.4,-19.3,31.7,85,14.0
2023-06-16,Snow,26.2,20.0,5.3,44,56.5
2023-11-08,Partly Cloudy,35.3,33.3,47.5,64,11.5
2023-02-03,Sunny,2.5,-10.1,35.8,96,8.9
2023-04-05,Rain,5.6,-6.5,22.8,86,14.0
2023-06-07,Cloudy,-7.6,-9.9,5.5,29,45.1
2023-10-07,Snow,38.4,25.0,9.1,66,18.8
2023-12-06,Snow,8.5,3.3,0.0,33,30.6
2023-05-17,Rain,33.0,23.6,22.2,47,0.6
2023-06-10,Sunny,22.3,12.5,0.0,95,8.7
2023-06-20,Thunderstorm,23.0,20.0,0.8,98,36.3
2023-08-22,Snow,8.4,-0.8,0.0,91,15.7
2023-03-19,Partly Cloudy,3.8,-4.3,28.7,50,32.0
2023-09-01,Thunderstorm,18.9,11.8,13.2,71,18.2
2023-12-07,Rain,-4.3,-6.5,9.4,58,59.2
2023-08-24,Thunderstorm,12.2,2.5,46.9,84,7.9
2023-04-12,Rain,6.2,1.4,38.5,53,1.4
2023-05-30,Sunny,23.3,11.0,3.7,99,9.6
2023-08-29,Cloudy,15.7,7.6,26.1,80,10.3
2023-01-19,Cloudy,4.9,-9.4,18.3,82,4.3
2023-10-12,Fog,-7.0,-20.1,0.0,38,4.8
2023-05-27,Cloudy,22.2,12.9,48.3,44,55.3
2023-05-18,Snow,28.5,14.4,0.0,22,0.6
2023-09-13,Rain,30.8,15.9,41.2,23,22.0
2023-07-05,Thunderstorm,22.3,11.3,31.1,37,11.7
2023-09-16,Snow,11.6,-2.3,6.0,30,59.1
2023-05-03,Fog,-0.2,-4.7,0.0,46,41.4
2023-05-19,Fog,29.3,24.2,27.9,33,27.0
2023-01-28,Sunny,26.7,22.9,43.0,24,43.0
2023-11-09,Thunderstorm,5.2,-0.9,16.9,29,48.6
2023-09-23,Partly Cloudy,-9.2,-21.9,36.7,53,1.3
2023-02-15,Rain,5.2,-5.3,0.0,63,22.8
2023-02-19,Thunderstorm,19.5,8.3,3.3,82,36.2
2023-06-21,Fog,13.6,4.3,0.0,38,48.1
2023-03-15,Snow,11.2,1.0,41.8,37,49.5
2023-10-22,Snow,20.2,9.6,0.0,81,13.6
2023-11-06,Fog,2.0,-12.8,0.0,29,32.0
2023-10-15,Cloudy,2.4,-4.7,23.0,69,6.5
2023-10-14,Sunny,23.0,16.6,6.0,97,22.3
2023-07-13,Sunny,39.0,33.3,20.1,80,38.7
2023-07-14,Rain,4.5,0.3,47.6,80,0.8
2023-07-16,Fog,9.4,2.4,30.9,79,28.2
2023-08-30,Partly Cloudy,27.6,25.0,28.7,35,5.6
2023-05-03,Snow,-5.5,-18.6,13.0,62,13.8
2023-08-28,Fog,-7.6,-20.7,10.0,90,2.1
2023-08-21,Thunderstorm,4.1,0.1,25.3,31,56.7
2023-10-28,Fog,-8.7,-21.7,0.0,58,44.3
2023-11-07,Partly Cloudy,23.3,11.5,4.5,37,5.4
2023-02-24,Fog,-3.2,-10.4,37.4,58,29.8
2023-12-04,Snow,9.5,-4.7,10.6,58,4.5
2023-04-16,Cloudy,35.9,33.2,40.7,86,16.6
2023-06-03,Snow,-9.3,-18.7,44.8,71,6.9
2023-09-24,Snow,5.1,-2.7,0.0,74,45.8
2023-08-23,Cloudy,2.1,-7.0,0.0,26,9.7
2023-07-15,Sunny,9.6,-4.3,17.9,62,51.9
2023-02-14,Cloudy,23.3,10.8,36.1,68,41.0
2023-09-19,Snow,24.6,12.2,0.0,94,48.4
2023-03-23,Thunderstorm,21.4,19.4,45.2,96,52.9
2023-06-09,Snow,13.0,10.8,34.3,47,12.2
2023-01-10,Thunderstorm,29.5,25.5,0.0,98,14.3
2023-11-25,Partly Cloudy,33.0,20.3,44.0,44,33.8
2023-06-29,Sunny,17.1,14.2,0.3,63,12.3
2023-11-29,Fog,15.3,1.6,40.6,93,27.0
2023-03-01,Fog,10.9,4.9,14.2,36,55.1
2023-10-15,Snow,-3.6,-18.2,0.0,32,29.2
2023-09-20,Thunderstorm,19.0,7.1,0.0,24,47.8
2023-06-03,Thunderstorm,31.0,17.1,0.0,56,45.3
2023-03-17,Rain,20.6,14.8,34.1,82,39.9
2023-05-13,Rain,33.2,22.6,0.0,74,35.4
2023-07-07,Fog,-7.3,-21.5,22.2,33,57.6
2023-09-01,Partly Cloudy,1.5,-1.8,23.9,33,12.3
2023-11-27,Cloudy,36.1,29.2,0.0,72,46.1
2023-06-08,Fog,39.8,30.9,30.2,34,49.1
2023-06-07,Snow,10.7,1.7,0.0,78,1.8
2023-09-12,Cloudy,10.6,-0.8,15.6,33,30.6
2023-07-28,Thunderstorm,10.4,-0.2,9.2,64,36.8
